AVAV,"AeroVironment, Inc.",NMS,Aerospace/Defense Products & Services,USA
BA,The Boeing Company,NYQ,Aerospace/Defense Products & Services,USA
BUKS,Butler National Corporation,PNK,Aerospace/Defense Products & Services,USA
BWXT,"BWX Technologies, Inc.",NYQ,Aerospace/Defense Products & Services,USA
CAE,CAE Inc.,NYQ,Aerospace/Defense Products & Services,USA
COL,"Rockwell Collins, Inc.",NYQ,Aerospace/Defense Products & Services,USA
CVU,"CPI Aerostructures, Inc.",ASE,Aerospace/Defense Products & Services,USA
CYIO,CYIOS Corporation,PNK,Aerospace/Defense Products & Services,USA
DCO,Ducommun Incorporated,NYQ,Aerospace/Defense Products & Services,USA
DGI,"DigitalGlobe, Inc.",NYQ,Aerospace/Defense Products & Services,USA
ERJ,Embraer S.A.,NYQ,Aerospace/Defense Products & Services,USA
ESL,Esterline Technologies Corporation,NYQ,Aerospace/Defense Products & Services,USA
GD,General Dynamics Corporation,NYQ,Aerospace/Defense Products & Services,USA
HEI,HEICO Corporation,NYQ,Aerospace/Defense Products & Services,USA
HEI-A,HEICO Corporation,NYQ,Aerospace/Defense Products & Services,USA
HII,"Huntington Ingalls Industries, Inc.",NYQ,Aerospace/Defense Products & Services,USA
HXL,Hexcel Corporation,NYQ,Aerospace/Defense Products & Services,USA
ISSC,"Innovative Solutions and Support, Inc.",NMS,Aerospace/Defense Products & Services,USA
KAMN,Kaman Corporation,NYQ,Aerospace/Defense Products & Services,USA
KLXI,KLX Inc.,NMS,Aerospace/Defense Products & Services,USA
LLL,"L3 Technologies, Inc.",NYQ,Aerospace/Defense Products & Services,USA
LMT,Lockheed Martin Corporation,NYQ,Aerospace/Defense Products & Services,USA
MLER,"Moller International, Inc.",PNK,Aerospace/Defense Products & Services,USA
MOG-A,Moog Inc.,NYQ,Aerospace/Defense Products & Services,USA
NPK,"National Presto Industries, Inc.",NYQ,Aerospace/Defense Products & Services,USA
OA,"Orbital ATK, Inc.",NYQ,Aerospace/Defense Products & Services,USA
PIVN,"Phoenix International Ventures, Inc.",PNK,Aerospace/Defense Products & Services,USA
RGR,"Sturm, Ruger & Company, Inc.",NYQ,Aerospace/Defense Products & Services,USA
RTN,Raytheon Company,NYQ,Aerospace/Defense Products & Services,USA
SPR,"Spirit AeroSystems Holdings, Inc.",NYQ,Aerospace/Defense Products & Services,USA
TATT,"TAT Technologies, Ltd.",NGM,Aerospace/Defense Products & Services,USA
TDG,TransDigm Group Incorporated,NYQ,Aerospace/Defense Products & Services,USA
TGI,"Triumph Group, Inc.",NYQ,Aerospace/Defense Products & Services,USA
TPAC,"Trans-Pacific Aerospace Company, Inc.",PNK,Aerospace/Defense Products & Services,USA
USAE,"U.S. Aerospace, Inc.",PNK,Aerospace/Defense Products & Services,USA
UTX,United Technologies Corporation,NYQ,Aerospace/Defense Products & Services,USA
WWD,"Woodward, Inc.",NMS,Aerospace/Defense Products & Services,USA
AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA
AVD,American Vanguard Corporation,NYQ,Agricultural Chemicals,USA
CF,"CF Industries Holdings, Inc.",NYQ,Agricultural Chemicals,USA
CGA,"China Green Agriculture, Inc.",NYQ,Agricultural Chemicals,USA
CVAT,"Cavitation Technologies, Inc.",PNK,Agricultural Chemicals,USA
DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA
GROG,"GroGenesis, Inc.",PNK,Agricultural Chemicals,USA
IPI,"Intrepid Potash, Inc.",NYQ,Agricultural Chemicals,USA
KWBT,Kiwa Bio-Tech Products Group Corporation,PNK,Agricultural Chemicals,USA
MBII,"Marrone Bio Innovations, Inc.",NCM,Agricultural Chemicals,USA
MON,Monsanto Company,NYQ,Agricultural Chemicals,USA
MOS,The Mosaic Company,NYQ,Agricultural Chemicals,USA
POT,Potash Corporation of Saskatchewan Inc.,NYQ,Agricultural Chemicals,USA
RKDA,"Arcadia Biosciences, Inc.",NCM,Agricultural Chemicals,USA
RTK,"Rentech, Inc.",NCM,Agricultural Chemicals,USA
SMG,The Scotts Miracle-Gro Company,NYQ,Agricultural Chemicals,USA
SYT,Syngenta AG,NYQ,Agricultural Chemicals,USA
TNH,"Terra Nitrogen Company, L.P.",NYQ,Agricultural Chemicals,USA
UAN,"CVR Partners, LP",NYQ,Agricultural Chemicals,USA
AIRT,"Air T, Inc.",NCM,Air Delivery & Freight Services,USA
ATSG,"Air Transport Services Group, Inc.",NMS,Air Delivery & Freight Services,USA
CHRW,"C.H. Robinson Worldwide, Inc.",NMS,Air Delivery & Freight Services,USA
EXPD,"Expeditors International of Washington, Inc.",NMS,Air Delivery & Freight Services,USA
FDX,FedEx Corporation,NYQ,Air Delivery & Freight Services,USA
FWRD,Forward Air Corporation,NMS,Air Delivery & Freight Services,USA
